Category: Science

Month,Conditional Random Field: (Worldwide),Transformer deep learning: (Worldwide)
2006-02,100,0
2007-04,72,0
2007-05,64,0
2007-08,60,0
2008-03,44,0
2008-07,45,0
2008-10,37,0
2008-11,41,0
2009-03,29,0
2009-06,32,0
2009-07,30,0
2009-08,30,0
2009-09,29,0
2009-11,39,0
2010-03,26,0
2010-05,30,0
2010-07,22,0
2010-09,19,0
2010-10,21,0
2010-11,24,0
2011-01,22,0
2011-02,17,0
2011-03,27,0
2011-04,26,0
2011-05,27,0
2011-06,18,0
2011-07,23,0
2011-08,17,0
2011-09,25,0
2011-10,21,0
2011-11,24,0
2011-12,18,0
2012-01,20,0
2012-02,14,0
2012-03,24,0
2012-04,21,0
2012-05,22,0
2012-06,25,0
2012-07,25,0
2012-08,25,0
2012-09,20,0
2012-10,12,0
2012-11,21,0
2012-12,17,0
2013-01,18,0
2013-02,27,0
2013-03,17,0
2013-04,24,0
2013-05,16,0
2013-06,19,0
2013-07,16,0
2013-08,17,0
2013-09,12,0
2013-10,20,0
2013-11,14,0
2013-12,20,0
2014-01,20,0
2014-02,20,0
2014-03,23,0
2014-04,20,0
2014-05,18,0
2014-06,12,0
2014-07,18,0
2014-08,13,0
2014-09,17,0
2014-10,16,0
2014-11,18,0
2014-12,16,0
2015-01,17,0
2015-02,26,0
2015-03,20,0
2015-04,16,0
2015-05,11,0
2015-06,17,0
2015-07,18,0
2015-08,13,0
2015-09,14,0
2015-10,18,0
2015-11,14,0
2015-12,21,0
2016-01,18,0
2016-02,18,0
2016-03,17,0
2016-04,14,0
2016-05,19,0
2016-06,23,0
2016-07,20,0
2016-08,12,0
2016-09,18,0
2016-10,20,0
2016-11,21,0
2016-12,23,0
2017-01,14,0
2017-02,22,0
2017-03,23,0
2017-04,32,0
2017-05,20,0
2017-06,15,0
2017-07,19,0
2017-08,24,0
2017-09,16,0
2017-10,20,0
2017-11,19,0
2017-12,19,0
2018-01,16,0
2018-02,27,0
2018-03,32,0
2018-04,17,0
2018-05,21,0
2018-06,20,0
2018-07,19,0
2018-08,22,0
2018-09,19,0
2018-10,24,0
2018-11,28,0
2018-12,17,0
2019-01,17,0
2019-02,20,0
2019-03,19,0
2019-04,21,0
2019-05,19,0
2019-06,22,0
2019-07,15,0
2019-08,12,0
2019-09,20,0
2019-10,19,6
2019-11,21,0
2019-12,11,0
2020-01,18,0
2020-02,19,0
2020-03,11,0
2020-04,16,0
2020-05,11,8
2020-06,13,8
2020-07,12,8
2020-08,9,0
2020-09,11,0
2020-10,8,10
2020-11,7,7
2020-12,8,7
2021-01,10,0
2021-02,9,0
2021-03,14,6
2021-04,8,0
2021-05,8,7
2021-06,10,10
2021-07,11,0
2021-08,0,6
2021-09,9,9
2021-10,11,8
2021-11,8,12
2021-12,0,14
2022-01,14,13
2022-02,10,12
2022-03,11,20
2022-04,17,15
2022-05,10,17
2022-06,14,14
2022-07,7,17
2022-08,12,13
2022-09,8,18
2022-10,7,21
2022-11,10,23
2022-12,7,21
2023-01,7,19
2023-02,8,24
2023-03,7,29
2023-04,8,28
2023-05,9,21
2023-06,8,24
2023-07,8,23
2023-08,6,22
2023-09,7,21
2023-10,6,18
2023-11,8,27
2023-12,10,26
2024-01,6,30
2024-02,0,24
2024-03,8,33
2024-04,6,32
2024-05,8,33
2024-06,3,26
